2024-10-09 20:50:21,733 - INFO - Performance metrics saved to backtest_results/performance_metrics.csv
2024-10-09 20:50:21,734 - INFO - Top 1 - JPY/CHF
2024-10-09 20:42:19,350 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}
2024-10-09 20:42:19,437 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.1}
2024-10-09 20:42:19,522 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.15}
2024-10-09 20:42:19,616 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}
2024-10-09 20:42:19,721 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.1}
2024-10-09 20:42:19,804 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.15}
2024-10-09 20:42:19,902 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.03, 'take_profit_percent': 0.05}
2024-10-09 20:42:20,010 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.03, 'take_profit_percent': 0.1}
2024-10-09 20:42:20,135 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.03, 'take_profit_percent': 0.15}
2024-10-09 20:42:20,218 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}
2024-10-09 20:42:20,299 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.1}
2024-10-09 20:42:20,394 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.15}
2024-10-09 20:42:20,469 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}
2024-10-09 20:42:20,559 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.1}
2024-10-09 20:42:20,664 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.15}
2024-10-09 20:42:20,772 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.03, 'take_profit_percent': 0.05}
2024-10-09 20:42:20,856 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.03, 'take_profit_percent': 0.1}
2024-10-09 20:42:20,931 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.03, 'take_profit_percent': 0.15}
2024-10-09 20:42:21,010 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.03, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}
2024-10-09 20:42:21,131 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.03, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.1}
2024-10-09 20:42:21,244 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.03, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.15}
2024-10-09 20:42:21,326 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.03, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}
2024-10-09 20:42:21,424 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.03, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.1}
2024-10-09 20:42:21,500 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.03, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.15}
2024-10-09 20:42:21,588 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.03, 'stop_loss_percent': 0.03, 'take_profit_percent': 0.05}
2024-10-09 20:42:21,678 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.03, 'stop_loss_percent': 0.03, 'take_profit_percent': 0.1}
2024-10-09 20:42:21,759 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 80, 'risk_percent': 0.03, 'stop_loss_percent': 0.03, 'take_profit_percent': 0.15}
2024-10-09 20:42:21,835 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}
2024-10-09 20:42:21,923 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.1}
2024-10-09 20:42:22,015 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.15}
2024-10-09 20:42:22,092 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}
2024-10-09 20:42:22,181 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.1}
2024-10-09 20:42:22,261 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.15}
2024-10-09 20:42:22,387 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.03, 'take_profit_percent': 0.05}
2024-10-09 20:42:22,477 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.03, 'take_profit_percent': 0.1}
2024-10-09 20:42:22,565 - INFO - Evaluating parameters: {'rsi_length': 2, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.03, 'take_profit_percent': 0.15}
